Classification,avg_daily_pnl,median_daily_pnl,win_rate,pnl_volatility,avg_drawdown_proxy,avg_trade_count,avg_leverage,avg_trade_size,avg_long_short_ratio
Fear,209372.6622054375,81389.6825155,0.9375,380423.90686389175,-2496.1293635625,4183.46875,5186239.936673787,5926.522722732153,0.9650871408237047
Greed,90988.70343648648,20925.513222,0.7837837837837838,264805.41569892614,-150.3788145945946,1168.945945945946,84493.62327054735,5637.302441468773,9.930682248399512
